Year,Audience,Attendees,Program Location
2019,Adult Groups,30,Central Office
2019,Adult Groups,1040,Five Rivers
2019,Adult Groups,54,Region 1
2019,Adult Groups,95,Region 2
2019,Adult Groups,225,Regions 6/7/8
2019,Adult Groups,1235,Reinstein
2019,After School Conservation Club,262,Central Office
2019,After School Conservation Club,5765,Region 2
2019,After School Conservation Club,244,Reinstein
2019,Camps,1307,Camps
2019,Day in the Life,140,Five Rivers
2019,Day in the Life,323,Region 1
2019,Day in the Life,230,Region 2
2019,Day in the Life,125,Regions 6/7/8
2019,Day in the Life,419,Reinstein
2019,Drop-in Visitation,63466,Five Rivers
2019,Drop-in Visitation,109010,Reinstein
2019,Educator Support,47,Central Office
2019,Educator Support,28,Five Rivers
2019,Educator Support,328,Region 1
2019,Educator Support,470,Region 2
2019,Educator Support,81,Regions 6/7/8
2019,Educator Support,59,Reinstein
2019,Envirothon,190,Region 1
2019,Envirothon,80,Region 2
2019,Envirothon,0,Regions 6/7/8
2019,Fairs & Fesitvals,3285,Central Office
2019,Fairs & Fesitvals,2659,Five Rivers
2019,Fairs & Fesitvals,23942,Region 1
2019,Fairs & Fesitvals,3942,Region 2
2019,Fairs & Fesitvals,28360,Regions 6/7/8
2019,Fairs & Fesitvals,11222,Reinstein
2019,General Public Programs,1426,Five Rivers
2019,General Public Programs,497,Region 1
2019,General Public Programs,966,Region 2
2019,General Public Programs,262,Regions 6/7/8
2019,General Public Programs,1282,Reinstein
2019,Groups Using Facility - no program,3907,Five Rivers
2019,Groups Using Facility - no program,20411,Reinstein
2019,Public Contacts & Questions,2803,Central Office
2019,Public Contacts & Questions,12650,Five Rivers
2019,Public Contacts & Questions,449,Region 1
2019,Public Contacts & Questions,275,Region 2
2019,Public Contacts & Questions,1143,Regions 6/7/8
2019,Public Contacts & Questions,36602,Reinstein
2019, School Guided,6845,Five Rivers
2019, School Guided,12533,Region 1
2019, School Guided,981,Region 2
2019, School Guided,2153,Regions 6/7/8
2019, School Guided,7424,Reinstein
2019,Self-guided School & Youth ,0,Five Rivers (no longer collected)
2019,Self-guided School & Youth ,0,Reinstein (no longer collected)
2019,Teacher Workshops,269,Central Office
2019,Teacher Workshops,301,Five Rivers
2019,Teacher Workshops,209,Region 1
2019,Teacher Workshops,236,Region 2
2019,Teacher Workshops,186,Regions 6/7/8
2019,Teacher Workshops,246,Reinstein
2019,Youth Guided,1016,Five Rivers
2019,Youth Guided,254,Region 1
2019,Youth Guided,2123,Region 2
2019,Youth Guided,50,Regions 6/7/8
2019,Youth Guided,2346,Reinstein
2018,Adult Groups,1298,Five Rivers
2018,Adult Groups,32,Region 2
2018,Adult Groups,390,Regions 6/7/8
2018,Adult Groups,1016,Reinstein
2018,After School Conservation Club,4951,Region 2
2018,After School Conservation Club,534,Reinstein
2018,Camps,1354,Camps
2018,Day in the Life,0,Five Rivers
2018,Day in the Life,296,Region 1
2018,Day in the Life,370,Region 2
2018,Day in the Life,277,Reinstein
2018,Drop-in Visitation,54455,Five Rivers
2018,Drop-in Visitation,120209,Reinstein
2018,Educator Support,75,Central Office
2018,Educator Support,446,Five Rivers
2018,Educator Support,0,Region 1
2018,Educator Support,341,Region 2
2018,Educator Support,254,Reinstein
2018,Envirothon,0,Region 1
